,id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
0,13842,2.518749990849756,Accessories,Low Profile Dyed Cotton Twill Cap - Navy W39S55D,MG,6.25,Women,EBD58B8A3F1D72F4206201DA62FB1204,1
1,13928,2.3383499148894105,Accessories,Low Profile Dyed Cotton Twill Cap - Putty W39S55D,MG,5.949999809265137,Women,2EAC42424D12436BDD6A5B8A88480CC3,1
2,14115,4.879559879379869,Accessories,Enzyme Regular Solid Army Caps-Black W35S45D,MG,10.989999771118164,Women,EE364229B2791D1EF9355708EFF0BA34,1
3,14157,4.648769887297898,Accessories,Enzyme Regular Solid Army Caps-Olive W35S45D (One Size),MG,10.989999771118164,Women,00BD13095D06C20B11A2993CA419D16B,1
4,14273,6.507929886473045,Accessories,Washed Canvas Ivy Cap - Black W11S64C,MG,15.989999771118164,Women,F531DC20FDE20B7ADF3A73F52B71D0AF,1
5,15674,3.1062499998370185,Plus,Low Profile Dyed Cotton Twill Cap - Navy W39S55D,MG,6.25,Women,63894CE404B8C652915C41EF8B879D20,1
6,15816,3.1772999091416594,Plus,Low Profile Dyed Cotton Twill Cap - Putty W39S55D,MG,5.949999809265137,Women,151EA8C2D98CE89C2336324C11B1E107,1
7,28646,8.73562987972319,Accessories,4 Panel Large Bill Flap Hat W15S48B (One Size Fits Most/Khaki),MG,19.989999771118164,Men,789334DE6DAA80D83AB4ACB6A4BF5AC7,1
8,28670,2.6759399153566363,Accessories,Low Profile Dyed Cotton Twill Cap - Black W39S55D,MG,6.179999828338623,Men,E74843B99DA8B29775C6AA9080436844,1
9,28714,2.275000000372529,Accessories,Low Profile Dyed Cotton Twill Cap - Khaki W39S55D,MG,6.25,Men,8CA33D44648CC9FEECEF21E5A7123291,1
10,28779,7.36748991528362,Accessories,Fishing Hat (01)-Khaki W10S32F,MG,20.989999771118164,Men,167D739013D283895E59F360A8EF992C,1
11,28904,6.7957498848550015,Accessories,Fashion Plaid Ivy Cap - Blue W10S69F,MG,15.989999771118164,Men,0EBD0B8B51EB0D0062065A7657486C8E,1
12,29007,10.795999868229032,Accessories,Washed Hunting Fishing Outdoor Hat-Camo W11S41D,MG,26.989999771118164,Men,11172787BDF65BA27B6349969D340AF4,1
13,12777,16.691290760814255,Swim,Womens MW Tankini Boyshorts Swimsuit Swimwear Crisscross Back Multiple Prints S-xxl,MW,44.9900016784668,Women,553C3741E8D893FE9789A3EB8A162821,1
14,12810,21.055320884742144,Swim,Mw Long Ruffle Tankini Bikini Swimsuit Bra Straps Multiple Prints,MW,44.9900016784668,Women,5A1106FCB6C23317695F2F619988EF41,1
15,12812,21.14530090284795,Swim,Womens long tankini bikini swimsuit Marina West 2 piece multiple prints bra straps,MW,44.9900016784668,Women,179DB74797BDE5F379B623AB73EE7C64,1
16,12853,18.71584077014294,Swim,Womens MW Tankini Boyshorts Swimsuit Swimwear Fashion prints S-XXL,MW,44.9900016784668,Women,5EF893A3104AB0CC85519A2AD3FEC050,1
17,12900,17.39565078823306,Swim,Womens One Piece/bikini Monokini Swimsuit w/ Fringe MW Multiple Prints and Solids,MW,39.9900016784668,Women,09EA221D3DB11DF1F369094FFB4BDA7C,1
18,13247,20.65041088706643,Swim,Womens swimsuit MW Swimwear Set Halter w/ Boyshorts 2 piece bikini multiple prints,MW,44.9900016784668,Women,EB61C2B1B1BF5D25C86DA9FCEEF54538,1
19,13477,22.600890809484422,Swim,MW Women's Swimsuit Two Piece Black Tankini with Bikini Bottoms,MW,54.9900016784668,Women,DBC50898CF582DFEBD6D7ADF4EAF9EB6,1
20,13574,19.39069080118597,Swim,Womens MW Two Piece Tankini Boyshorts Swimsuit Brown & Turquoise Ethnic Print,MW,44.9900016784668,Women,96A83C96ABBE6D0B40C72B279EBDF76E,1
21,2848,20.946700439925493,Active,2XU Women's Compression Recovery Sock,2XU,44.950000762939446,Women,5A2756A3CB9CDE852CAD3C97E120B656,1
22,3039,22.627350425997378,Active,2XU Women's Compression Race Sock,2XU,49.950000762939446,Women,F0204E1D3EE3E4B05DE4E2DDBD39E076,1
23,9041,20.479500227209176,Socks & Hosiery,2XU Women's Compression Race Sock,2XU,49.950000762939446,Women,70D355680E628FE1C552221F690D8DA4,1
24,13122,68.73737201425911,Swim,2XU Women's Swimmers Compression Long Sleeve Top,2XU,150.41000366210938,Women,8922176F5043C3196357E6E8D2D50852,1
25,18147,17.069900398133232,Active,2XU Non-Stirrup Compression Calf Guard,2XU,40.450000762939446,Men,41371BE284C70C592049717C38E42081,1
26,18363,65.0955812367481,Active,2XU Men's Compression Recovery Tights,2XU,159.94000244140625,Men,0029F088C57AD3B6EC589F9BA4F7A057,1
27,18394,22.97700039561093,Active,2XU Men's Compression Race Sock,2XU,49.950000762939446,Men,87549E74D3546183365AD3F438A48FC4,1
28,18465,27.240000218153,Active,2XU Men's Elite Compression Performance Sock,2XU,60.0,Men,C3EC22F418B0A5CFC919DE3E41411D38,1
29,18593,17.00110065520704,Active,2XU Men's Compression Recovery Sock,2XU,43.150001525878906,Men,4F9604E8959AF0FAA3BA6316B5CD1B23,1
30,18607,30.63616928671479,Active,2XU Men's Compression 3/4 Tights,2XU,79.98999786376953,Men,CC397301371EEC5A48FB375CE4CE7BCE,1
31,18644,41.28767906982421,Active,2XU Men's Elite Compression Long Sleeve Top,2XU,107.5199966430664,Men,94B6CE9C1DBB412DCC36E2850627056F,1
32,18664,25.83845043245256,Active,2XU Recovery Compression Leg Sleeves,2XU,59.950000762939446,Men,4148DBFEFE2CEF3F36B4866A1485E1EC,1
33,18708,42.59726061337233,Active,2XU Men's Thermal Compression Long Sleeve Top,2XU,111.22000122070312,Men,C64107E33AA9FEE83D57501F9A672344,1
